Dataset: 56.50000, sensor:56.56554, difference:-0.06554
Dataset: 82.50000, sensor:82.53529, difference:-0.03529
Dataset: 93.50000, sensor:93.55196, difference:-0.05196
Dataset: 3.00000, sensor:2.94762, difference:0.05238
Dataset: 10.50000, sensor:10.48188, difference:0.01812
Dataset: 37.50000, sensor:37.44355, difference:0.05645
Dataset: 60.00000, sensor:59.95570, difference:0.04430
Dataset: 62.00000, sensor:62.05174, difference:-0.05174
Dataset: 16.00000, sensor:15.99869, difference:0.00131
Dataset: 18.00000, sensor:17.95875, difference:0.04125
Dataset: 25.00000, sensor:24.98074, difference:0.01926
Dataset: 30.00000, sensor:29.95470, difference:0.04530
Dataset: 43.50000, sensor:43.50677, difference:-0.00677
Dataset: 67.50000, sensor:67.46991, difference:0.03009
Dataset: 70.00000, sensor:70.03769, difference:-0.03769
Dataset: 55.50000, sensor:55.49981, difference:0.00019
Dataset: 74.00000, sensor:74.03478, difference:-0.03478
Dataset: 76.00000, sensor:75.98971, difference:0.01029
Dataset: 93.00000, sensor:93.03919, difference:-0.03919
Dataset: 8.50000, sensor:8.49767, difference:0.00233
Dataset: 57.50000, sensor:57.45717, difference:0.04283
Dataset: 66.50000, sensor:66.53500, difference:-0.03500
Dataset: 68.50000, sensor:68.52184, difference:-0.02184
Dataset: 82.00000, sensor:82.00926, difference:-0.00926
Dataset: 4.50000, sensor:4.53714, difference:-0.03714
Dataset: 24.00000, sensor:23.98883, difference:0.01117
Dataset: 39.00000, sensor:38.96931, difference:0.03069
Dataset: 51.00000, sensor:50.91167, difference:0.08833
Dataset: 66.00000, sensor:65.94802, difference:0.05198
Dataset: 88.00000, sensor:88.00024, difference:-0.00024
Dataset: 92.50000, sensor:92.48176, difference:0.01824
Dataset: 2.50000, sensor:2.49443, difference:0.00557
Dataset: 16.50000, sensor:16.49808, difference:0.00192
Dataset: 33.50000, sensor:33.57841, difference:-0.07841
Dataset: 38.50000, sensor:38.43951, difference:0.06049
Dataset: 77.50000, sensor:77.51353, difference:-0.01353
Dataset: 80.50000, sensor:80.53154, difference:-0.03154
Dataset: 89.00000, sensor:88.97191, difference:0.02809
Dataset: 0.50000, sensor:0.45934, difference:0.04066
Dataset: 47.00000, sensor:47.04102, difference:-0.04102
Dataset: 61.00000, sensor:60.95238, difference:0.04762
Dataset: 91.50000, sensor:91.48391, difference:0.01609
Dataset: 7.00000, sensor:7.07191, difference:-0.07191
Dataset: 17.50000, sensor:17.45347, difference:0.04653
Dataset: 44.00000, sensor:43.97251, difference:0.02749
Dataset: 52.50000, sensor:52.46067, difference:0.03933
Dataset: 77.00000, sensor:76.99521, difference:0.00479
Dataset: 22.50000, sensor:22.52823, difference:-0.02823
Dataset: 25.50000, sensor:25.55065, difference:-0.05065
Dataset: 28.50000, sensor:28.52038, difference:-0.02038
Dataset: 49.00000, sensor:48.95713, difference:0.04287
Dataset: 54.50000, sensor:54.49125, difference:0.00875
Dataset: 65.00000, sensor:65.02757, difference:-0.02757
Dataset: 81.50000, sensor:81.46399, difference:0.03601
Dataset: 86.50000, sensor:86.51621, difference:-0.01621
Dataset: 23.00000, sensor:22.92648, difference:0.07352
Dataset: 24.50000, sensor:24.51380, difference:-0.01380
Dataset: 45.00000, sensor:45.01237, difference:-0.01237
Dataset: 49.50000, sensor:49.55572, difference:-0.05572
Dataset: 53.00000, sensor:52.98407, difference:0.01593
Dataset: 63.00000, sensor:62.96715, difference:0.03285
Dataset: 75.50000, sensor:75.46813, difference:0.03187
Dataset: 90.00000, sensor:89.95669, difference:0.04331
Dataset: 91.00000, sensor:91.00098, difference:-0.00098
Dataset: 92.00000, sensor:92.01569, difference:-0.01569
Dataset: 94.00000, sensor:93.98465, difference:0.01535
Dataset: 98.50000, sensor:98.53360, difference:-0.03360
Dataset: 100.00000, sensor:99.99178, difference:0.00822
Dataset: 27.50000, sensor:27.45379, difference:0.04621
Dataset: 51.50000, sensor:51.43796, difference:0.06204
Dataset: 58.00000, sensor:57.94888, difference:0.05112
Dataset: 94.50000, sensor:94.52415, difference:-0.02415
Dataset: 2.00000, sensor:1.98449, difference:0.01551
Dataset: 14.50000, sensor:14.47956, difference:0.02044
Dataset: 31.50000, sensor:31.57048, difference:-0.07048
Dataset: 65.50000, sensor:65.46043, difference:0.03957
Dataset: 38.00000, sensor:37.93429, difference:0.06571
Dataset: 45.50000, sensor:45.41061, difference:0.08939
Dataset: 46.00000, sensor:45.99369, difference:0.00631
Dataset: 58.50000, sensor:58.42425, difference:0.07575
Dataset: 75.00000, sensor:74.96956, difference:0.03044
Dataset: 84.50000, sensor:84.49249, difference:0.00751
Dataset: 97.00000, sensor:97.05270, difference:-0.05270
Dataset: 97.50000, sensor:97.48667, difference:0.01333
Dataset: 99.50000, sensor:99.41731, difference:0.08269
Dataset: 3.50000, sensor:3.45426, difference:0.04574
Dataset: 17.00000, sensor:16.98411, difference:0.01589
Dataset: 21.00000, sensor:20.94337, difference:0.05663
Dataset: 62.50000, sensor:62.58736, difference:-0.08736
